Partner,Email,Account Manager,Account ,Region,Specialisms,Turnover of Prospects,Employee No. of Prospects,Sectors Covered
Test Company 674,sample@Test Company 674.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,Yorkshire,Central Scotland,Wales","Bespoke,Cloud,Connectivity,CRM,Disaster Recovery,E Commerce,ERP,Finance,GDPR,HR Software,Infrastructure,IT Reseller,IT Security,IT Support,MRP,MS,Office 365,Sharepoint,Storage Capacity,Testing Services,Virtualisation,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 683,sample@Test Company 683.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 691,sample@Test Company 691.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","CRM,Mobile Solution,Telecoms","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 743,sample@Test Company 743.com,Dannii Griffin,Old Disti ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,BI,Cloud,CRM,Disaster Recovery,GDPR,MS,Storage Capacity,Virtualisation","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 763,sample@Test Company 763.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,Cloud,CRM,E Commerce,ERP,Finance,Invoice Automation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing"
Test Company 774,sample@Test Company 774.com,Dannii Griffin,New Dist ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","CRM,E Commerce,ERP,Finance,MRP,Office 365,Storage Capacity,Warehouse Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector"
Test Company 782,sample@Test Company 782.com,Dannii Griffin,New Dist ,"North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Central Scotland,Wales","CRM,ERP","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 803,sample@Test Company 803.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,North Scotland,Central Scotland,Wales","CRM,E Commerce,GDPR","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Wholesale/Distribution - Warehousing,Construction"
Test Company 825,sample@Test Company 825.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 860,sample@Test Company 860.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 862,sample@Test Company 862.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 863,sample@Test Company 863.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 864,sample@Test Company 864.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion,F: 50M to 100MF: 50M to 100M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 865,sample@Test Company 865.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 866,sample@Test Company 866.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 867,sample@Test Company 867.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 868,sample@Test Company 868.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 869,sample@Test Company 869.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 870,sample@Test Company 870.com,,SAS,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Asset Management,Bespoke,BI,Cloud,Connectivity,Consultancy,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Industry Specific,Infrastructure,Invoice Automation,IT Reseller,IT Security,IT Support,Mobile Solution,MRP,MS,Office 365,Oracle,Professional Services,Quality Management,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 904,sample@Test Company 904.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,BI,Cloud,Connectivity,CRM,Disaster Recovery,Document Management,GDPR,HR Software,Infrastructure,Invoice Automation,IT Security,IT Support,MRP,MS,Office 365,Sharepoint,Storage Capacity,Telecoms,Virtualisation","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Retail and Leisure,Construction"
Test Company 949,sample@Test Company 949.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","CRM,ERP,Invoice Automation,Warehouse Management","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 952,sample@Test Company 952.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Central Scotland,Wales","Bespoke,BI,Cloud,CRM,Disaster Recovery,Document Management,GDPR,HR Software,Infrastructure,IT Security,IT Support,MS,Office 365,Sharepoint,Storage Capacity,Telecoms,Virtualisation,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 985,sample@Test Company 985.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Central Scotland,Wales","BI,Cloud,Connectivity,CRM,Disaster Recovery,Infrastructure,IT Security,IT Support,MS,Office 365,Storage Capacity,Virtualisation,Project Management",,"C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure"
Test Company 989,sample@Test Company 989.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,North Scotland,Central Scotland,Wales","Bespoke,BI,Cloud,Connectivity,CRM,Disaster Recovery,Document Management,Infrastructure,IT Security,IT Support,Office 365,Sharepoint,Storage Capacity,Telecoms,Testing Services,Virtualisation,Project Management",,"B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
